# ArrowInput TSV dictionary
# UTF-8 TSV: code	text	comment	weight	user_weight
cong	㗰	cong		
ji	㗱	ji		
huo	㗲	huo		
ta	㗳	ta		
yan	㗴	yan		
xu	㗵	xu		
po	㗶	po		
sai	㗷	sai		
guo	㗻	guo		
ye	㗼	ye		
xiang	㗽	xiang		
xue	㗾	xue		
he	㗿	he		
xia	㗿	xia		
zuo	㘀	zuo		
yi	㘁	yi		
ci	㘂	ci		
leng	㘄	leng		
xian	㘅	xian		
tai	㘆	tai		
rong	㘇	rong		
ni	㘈	ni		
yi	㘈	yi		
jie	㘉	jie		
xi	㘊	xi		
yi	㘊	yi		
xian	㘋	xian		
ju	㘌	ju		
ji	㘍	ji		
han	㘎	han		
pao	㘐	pao		
li	㘑	li		
lan	㘓	lan		
sai	㘔	sai		
han	㘕	han		
lan	㘕	lan		
yan	㘖	yan		
qu	㘗	qu		
yan	㘙	yan		
han	㘚	han		
kan	㘛	kan		
chi	㘜	chi		
nie	㘝	nie		
huo	㘞	huo		
bi	㘠	bi		
xia	㘡	xia		
weng	㘢	weng		
xuan	㘣	xuan		
wan	㘤	wan		
e	㘥	e		
you	㘥	you		
qin	㘦	qin		
xu	㘧	xu		
nie	㘨	nie		
bi	㘩	bi		
hao	㘪	hao		
jing	㘫	jing		
ao	㘬	ao		
wu	㘬	wu		
ao	㘭	ao		
zhen	㘰	zhen		
tan	㘱	tan		
ju	㘲	ju		
zuo	㘴	zuo		
bu	㘵	bu		
jie	㘶	jie		
ai	㘷	ai		
zang	㘸	zang		
zuo	㘸	zuo		
ji	㘹	ji		
fa	㘺	fa		
nie	㘿	nie		
jiu	㙀	jiu		
liu	㙀	liu		
mei	㙁	mei		
mu	㙁	mu		
dui	㙂	dui		
weng	㙂	weng		
bang	㙃	bang		
bi	㙄	bi		
bao	㙅	bao		
chu	㙇	chu		
xia	㙈	xia		
dian	㙉	dian		
tian	㙉	tian		
chang	㙊	chang		
zhang	㙊	zhang		
duo	㙍	duo		
wei	㙎	wei		
fu	㙏	fu		
duo	㙐	duo		
yu	㙑	yu		
ye	㙒	ye		
kui	㙓	kui		
han	㙔	han		
wei	㙔	wei		
kuai	㙕	kuai		
wei	㙗	wei		
yao	㙘	yao		
long	㙙	long		
xing	㙚	xing		
bu	㙛	bu		
chi	㙜	chi		
xie	㙝	xie		
nie	㙞	nie		
lang	㙟	lang		
yi	㙠	yi		
zong	㙡	zong		
man	㙢	man		
zhang	㙣	zhang		
xia	㙤	xia		
gun	㙥	gun		
xie	㙦	xie		
ji	㙨	ji		
liao	㙩	liao		
yi	㙪	yi		
ji	㙫	ji		
yin	㙬	yin		
da	㙮	da		
yi	㙯	yi		
xie	㙰	xie		
hao	㙱	hao		
yong	㙲	yong		
han	㙳	han		
kan	㙳	kan		
chan	㙴	chan		
tai	㙵	tai		
tang	㙶	tang		
zhe	㙷	zhe		
zhi	㙷	zhi		
bao	㙸	bao		
meng	㙹	meng		
gui	㙺	gui		
chan	㙻	chan		
lei	㙼	lei		
xi	㙾	xi		
xi	㚀	xi		
qiao	㚁	qiao		
nang	㚂	nang		
yun	㚃	yun		
long	㚅	long		
fu	㚆	fu		
zong	㚇	zong		
gu	㚉	gu		
